,zipcode,Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+),borough,landuse_1.0,landuse_2.0,landuse_3.0,landuse_4.0,landuse_5.0,landuse_6.0,landuse_7.0,landuse_8.0,landuse_9.0,landuse_10.0,landuse_11.0,total_bldgarea
91,10016.0,total,"32,720","24,900","5,810","1,120","5,740",MN,328177.0,1392316.0,13891055.0,30261691.0,28653062.0,0.0,200.0,7613821.0,12406.0,249282.0,0.0,82402010.0
92,10016.0,"< $25,000",4980,4230,310,290,1250,MN,328177.0,1392316.0,13891055.0,30261691.0,28653062.0,0.0,200.0,7613821.0,12406.0,249282.0,0.0,82402010.0
93,10016.0,"$25,000 - $49,999",4720,4080,300,220,740,MN,328177.0,1392316.0,13891055.0,30261691.0,28653062.0,0.0,200.0,7613821.0,12406.0,249282.0,0.0,82402010.0
94,10016.0,"$50,000 - $74,999",5000,4470,260,170,630,MN,328177.0,1392316.0,13891055.0,30261691.0,28653062.0,0.0,200.0,7613821.0,12406.0,249282.0,0.0,82402010.0
95,10016.0,"$75,000 -  $99,999",4090,3580,310,90,610,MN,328177.0,1392316.0,13891055.0,30261691.0,28653062.0,0.0,200.0,7613821.0,12406.0,249282.0,0.0,82402010.0
96,10016.0,"$100,000 - $199,999",7280,5590,1290,180,1220,MN,328177.0,1392316.0,13891055.0,30261691.0,28653062.0,0.0,200.0,7613821.0,12406.0,249282.0,0.0,82402010.0
97,10016.0,"$200,000+",6650,2950,3340,170,1290,MN,328177.0,1392316.0,13891055.0,30261691.0,28653062.0,0.0,200.0,7613821.0,12406.0,249282.0,0.0,82402010.0
98,10017.0,total,"12,150","8,250","2,950",400,"2,950",MN,147059.0,102061.0,6046123.0,6803284.0,59756445.0,0.0,74550.0,3863733.0,796.0,61700.0,0.0,76855751.0
99,10017.0,"< $25,000",1750,1490,110,50,500,MN,147059.0,102061.0,6046123.0,6803284.0,59756445.0,0.0,74550.0,3863733.0,796.0,61700.0,0.0,76855751.0
100,10017.0,"$25,000 - $49,999",1390,1180,100,50,310,MN,147059.0,102061.0,6046123.0,6803284.0,59756445.0,0.0,74550.0,3863733.0,796.0,61700.0,0.0,76855751.0
101,10017.0,"$50,000 - $74,999",1450,1220,110,60,280,MN,147059.0,102061.0,6046123.0,6803284.0,59756445.0,0.0,74550.0,3863733.0,796.0,61700.0,0.0,76855751.0
102,10017.0,"$75,000 -  $99,999",1250,1040,120,50,240,MN,147059.0,102061.0,6046123.0,6803284.0,59756445.0,0.0,74550.0,3863733.0,796.0,61700.0,0.0,76855751.0
103,10017.0,"$100,000 - $199,999",2780,2000,580,80,600,MN,147059.0,102061.0,6046123.0,6803284.0,59756445.0,0.0,74550.0,3863733.0,796.0,61700.0,0.0,76855751.0
104,10017.0,"$200,000+",3530,1320,1930,110,1020,MN,147059.0,102061.0,6046123.0,6803284.0,59756445.0,0.0,74550.0,3863733.0,796.0,61700.0,0.0,76855751.0
105,10018.0,total,"6,830","4,830","1,300",430,920,MN,0.0,291891.0,3112543.0,4651587.0,38367849.0,1113314.0,2155763.0,1651025.0,0.0,679012.0,0.0,52022984.0
106,10018.0,"< $25,000",1470,1190,120,110,270,MN,0.0,291891.0,3112543.0,4651587.0,38367849.0,1113314.0,2155763.0,1651025.0,0.0,679012.0,0.0,52022984.0
107,10018.0,"$25,000 - $49,999",1050,780,110,120,110,MN,0.0,291891.0,3112543.0,4651587.0,38367849.0,1113314.0,2155763.0,1651025.0,0.0,679012.0,0.0,52022984.0
108,10018.0,"$50,000 - $74,999",860,690,70,70,80,MN,0.0,291891.0,3112543.0,4651587.0,38367849.0,1113314.0,2155763.0,1651025.0,0.0,679012.0,0.0,52022984.0
109,10018.0,"$75,000 -  $99,999",590,480,50,30,40,MN,0.0,291891.0,3112543.0,4651587.0,38367849.0,1113314.0,2155763.0,1651025.0,0.0,679012.0,0.0,52022984.0
110,10018.0,"$100,000 - $199,999",1270,960,220,40,120,MN,0.0,291891.0,3112543.0,4651587.0,38367849.0,1113314.0,2155763.0,1651025.0,0.0,679012.0,0.0,52022984.0
111,10018.0,"$200,000+",1590,730,730,60,300,MN,0.0,291891.0,3112543.0,4651587.0,38367849.0,1113314.0,2155763.0,1651025.0,0.0,679012.0,0.0,52022984.0
112,10019.0,total,"25,750","18,350","5,160","1,430","4,680",MN,39569.0,1841651.0,12200795.0,34224108.0,46816158.0,220068.0,777575.0,5282486.0,20600.0,191488.0,0.0,101614498.0
113,10019.0,"< $25,000",4900,3910,440,390,1260,MN,39569.0,1841651.0,12200795.0,34224108.0,46816158.0,220068.0,777575.0,5282486.0,20600.0,191488.0,0.0,101614498.0
114,10019.0,"$25,000 - $49,999",3690,2810,380,390,610,MN,39569.0,1841651.0,12200795.0,34224108.0,46816158.0,220068.0,777575.0,5282486.0,20600.0,191488.0,0.0,101614498.0
115,10019.0,"$50,000 - $74,999",3480,2830,330,200,520,MN,39569.0,1841651.0,12200795.0,34224108.0,46816158.0,220068.0,777575.0,5282486.0,20600.0,191488.0,0.0,101614498.0
116,10019.0,"$75,000 -  $99,999",2610,2100,300,120,420,MN,39569.0,1841651.0,12200795.0,34224108.0,46816158.0,220068.0,777575.0,5282486.0,20600.0,191488.0,0.0,101614498.0
117,10019.0,"$100,000 - $199,999",5620,4150,1120,190,850,MN,39569.0,1841651.0,12200795.0,34224108.0,46816158.0,220068.0,777575.0,5282486.0,20600.0,191488.0,0.0,101614498.0
118,10019.0,"$200,000+",5450,2550,2590,140,1020,MN,39569.0,1841651.0,12200795.0,34224108.0,46816158.0,220068.0,777575.0,5282486.0,20600.0,191488.0,0.0,101614498.0
119,10021.0,total,"23,350","15,060","6,660",770,"7,340",MN,1591985.0,1898332.0,20828341.0,13547068.0,1998613.0,2400.0,28097.0,6228936.0,0.0,222378.0,0.0,46346150.0
120,10021.0,"< $25,000",3230,2860,160,90,960,MN,1591985.0,1898332.0,20828341.0,13547068.0,1998613.0,2400.0,28097.0,6228936.0,0.0,222378.0,0.0,46346150.0
121,10021.0,"$25,000 - $49,999",2420,2090,160,80,620,MN,1591985.0,1898332.0,20828341.0,13547068.0,1998613.0,2400.0,28097.0,6228936.0,0.0,222378.0,0.0,46346150.0
122,10021.0,"$50,000 - $74,999",3040,2580,220,110,710,MN,1591985.0,1898332.0,20828341.0,13547068.0,1998613.0,2400.0,28097.0,6228936.0,0.0,222378.0,0.0,46346150.0
123,10021.0,"$75,000 -  $99,999",2470,2030,260,80,650,MN,1591985.0,1898332.0,20828341.0,13547068.0,1998613.0,2400.0,28097.0,6228936.0,0.0,222378.0,0.0,46346150.0
124,10021.0,"$100,000 - $199,999",4940,3280,1260,210,1660,MN,1591985.0,1898332.0,20828341.0,13547068.0,1998613.0,2400.0,28097.0,6228936.0,0.0,222378.0,0.0,46346150.0
125,10021.0,"$200,000+",7250,2220,4600,200,2740,MN,1591985.0,1898332.0,20828341.0,13547068.0,1998613.0,2400.0,28097.0,6228936.0,0.0,222378.0,0.0,46346150.0
126,10022.0,total,"20,230","13,200","5,570",650,"6,560",MN,331456.0,878302.0,19064174.0,17323721.0,47559595.0,0.0,116360.0,1588602.0,912.0,206094.0,0.0,87069216.0
127,10022.0,"< $25,000",2760,2380,180,90,870,MN,331456.0,878302.0,19064174.0,17323721.0,47559595.0,0.0,116360.0,1588602.0,912.0,206094.0,0.0,87069216.0
128,10022.0,"$25,000 - $49,999",2050,1740,140,90,570,MN,331456.0,878302.0,19064174.0,17323721.0,47559595.0,0.0,116360.0,1588602.0,912.0,206094.0,0.0,87069216.0
129,10022.0,"$50,000 - $74,999",2410,2040,220,60,610,MN,331456.0,878302.0,19064174.0,17323721.0,47559595.0,0.0,116360.0,1588602.0,912.0,206094.0,0.0,87069216.0
130,10022.0,"$75,000 -  $99,999",2010,1620,230,80,550,MN,331456.0,878302.0,19064174.0,17323721.0,47559595.0,0.0,116360.0,1588602.0,912.0,206094.0,0.0,87069216.0
131,10022.0,"$100,000 - $199,999",4530,3120,1070,150,1490,MN,331456.0,878302.0,19064174.0,17323721.0,47559595.0,0.0,116360.0,1588602.0,912.0,206094.0,0.0,87069216.0
132,10022.0,"$200,000+",6470,2300,3730,180,2470,MN,331456.0,878302.0,19064174.0,17323721.0,47559595.0,0.0,116360.0,1588602.0,912.0,206094.0,0.0,87069216.0
133,10023.0,total,"34,400","21,760","9,810","1,670","10,330",MN,652042.0,3811309.0,20582357.0,26415162.0,3974104.0,0.0,0.0,4571429.0,58219.0,62555.0,0.0,60127177.0
134,10023.0,"< $25,000",5790,4830,370,380,1720,MN,652042.0,3811309.0,20582357.0,26415162.0,3974104.0,0.0,0.0,4571429.0,58219.0,62555.0,0.0,60127177.0
135,10023.0,"$25,000 - $49,999",3730,2910,350,350,1060,MN,652042.0,3811309.0,20582357.0,26415162.0,3974104.0,0.0,0.0,4571429.0,58219.0,62555.0,0.0,60127177.0
