"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
10037,"$50,000 - $74,999",1830,1150,150,480,430
10037,"$75,000 -  $99,999",1070,620,120,280,220
10037,"$100,000 - $199,999",1010,560,250,180,190
10037,"$200,000+",170,70,80,** ,30
,,,,,,
10038,total,"12,560","8,530","2,700","1,020","1,980"
10038,"< $25,000",3380,2300,590,420,810
10038,"$25,000 - $49,999",1970,1430,260,230,310
10038,"$50,000 - $74,999",1680,1380,130,130,220
10038,"$75,000 -  $99,999",1150,910,140,70,150
10038,"$100,000 - $199,999",2400,1720,490,110,280
10038,"$200,000+",1980,790,1090,60,210
,,,,,,
10039,total,"13,420","7,580","1,350","4,280","2,020"
10039,"< $25,000",6090,3800,400,1820,850
10039,"$25,000 - $49,999",3670,1930,310,1360,550
10039,"$50,000 - $74,999",1850,980,180,670,310
10039,"$75,000 -  $99,999",810,450,110,240,140
10039,"$100,000 - $199,999",810,360,250,190,140
10039,"$200,000+",190,60,100,** ,30
,,,,,,
10040,total,"21,620","12,800","3,680","4,680","3,850"
10040,"< $25,000",9580,6610,860,1970,1830
10040,"$25,000 - $49,999",5450,3050,730,1550,820
10040,"$50,000 - $74,999",3040,1680,540,730,480
10040,"$75,000 -  $99,999",1500,760,430,260,290
10040,"$100,000 - $199,999",1620,620,790,170,330
10040,"$200,000+",430,80,330,** ,100
,,,,,,
10044,total,"4,360","2,490","1,340",370,930
10044,"< $25,000",1110,840,120,120,230
10044,"$25,000 - $49,999",760,530,120,80,150
10044,"$50,000 - $74,999",660,440,120,60,130
10044,"$75,000 -  $99,999",440,250,130,40,100
10044,"$100,000 - $199,999",880,340,450,70,220
10044,"$200,000+",510,90,400,** ,100
,,,,,,
10065,total,"15,920","10,310","4,450",570,"4,500"
10065,"< $25,000",2280,1980,140,80,640
10065,"$25,000 - $49,999",1920,1640,140,70,420
10065,"$50,000 - $74,999",2140,1780,190,80,430
10065,"$75,000 -  $99,999",1620,1310,210,50,430
10065,"$100,000 - $199,999",3280,2180,840,130,1000
