,"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
206,10028.0,"$200,000+",6730,1600,4720,240,2320
207,,,,,,,
208,10029.0,total,"35,480","20,610","5,150","8,940","4,900"
209,10029.0,"< $25,000",16040,10220,1560,4050,2320
210,10029.0,"$25,000 - $49,999",9660,5250,1200,2990,1150
211,10029.0,"$50,000 - $74,999",4800,2780,670,1210,660
212,10029.0,"$75,000 -  $99,999",2050,1130,410,420,280
213,10029.0,"$100,000 - $199,999",2040,1000,730,230,320
214,10029.0,"$200,000+",890,230,580,40,170
215,,,,,,,
216,10030.0,total,"13,870","8,400","1,320","3,850","1,660"
217,10030.0,"< $25,000",6240,4010,350,1800,760
218,10030.0,"$25,000 - $49,999",3810,2230,310,1190,410
219,10030.0,"$50,000 - $74,999",1890,1170,160,510,230
220,10030.0,"$75,000 -  $99,999",900,520,140,200,110
221,10030.0,"$100,000 - $199,999",790,400,220,150,110
222,10030.0,"$200,000+",240,70,140,** ,40
223,,,,,,,
224,10031.0,total,"29,540","19,210","3,600","6,150","4,070"
225,10031.0,"< $25,000",13130,9430,960,2550,2050
226,10031.0,"$25,000 - $49,999",8130,5090,870,2030,890
227,10031.0,"$50,000 - $74,999",4300,2700,520,950,510
228,10031.0,"$75,000 -  $99,999",1810,1030,340,370,270
229,10031.0,"$100,000 - $199,999",1720,820,630,230,270
230,10031.0,"$200,000+",450,140,280,20,80
231,,,,,,,
232,10032.0,total,"29,450","18,750","3,890","6,310","4,690"
233,10032.0,"< $25,000",13660,9780,1110,2610,2530
234,10032.0,"$25,000 - $49,999",8030,4900,920,2060,950
235,10032.0,"$50,000 - $74,999",4100,2380,580,1030,530
236,10032.0,"$75,000 -  $99,999",1700,920,380,350,280
237,10032.0,"$100,000 - $199,999",1580,680,630,240,290
238,10032.0,"$200,000+",380,90,270,20,110
239,,,,,,,
240,10033.0,total,"27,200","16,410","4,600","5,660","4,840"
241,10033.0,"< $25,000",12250,8610,1080,2410,2380
242,10033.0,"$25,000 - $49,999",6910,3990,910,1860,890
243,10033.0,"$50,000 - $74,999",3560,2070,560,830,570
244,10033.0,"$75,000 -  $99,999",1630,850,430,290,300
245,10033.0,"$100,000 - $199,999",2110,750,1060,240,510
246,10033.0,"$200,000+",740,140,560,30,190
247,,,,,,,
248,10034.0,total,"20,010","11,630","3,330","4,660","3,520"
249,10034.0,"< $25,000",8730,5820,790,2000,1730
250,10034.0,"$25,000 - $49,999",4980,2750,620,1520,640
251,10034.0,"$50,000 - $74,999",2870,1620,470,690,450
252,10034.0,"$75,000 -  $99,999",1420,760,360,260,260
253,10034.0,"$100,000 - $199,999",1620,610,800,190,350
254,10034.0,"$200,000+",390,70,290,** ,90
255,,,,,,,
256,10035.0,total,"15,420","9,040","1,990","4,100","1,900"
257,10035.0,"< $25,000",6810,4410,510,1820,870
258,10035.0,"$25,000 - $49,999",4050,2130,440,1410,500
259,10035.0,"$50,000 - $74,999",2090,1240,260,530,230
260,10035.0,"$75,000 -  $99,999",950,570,150,180,120
261,10035.0,"$100,000 - $199,999",1130,560,400,140,130
262,10035.0,"$200,000+",390,130,230,20,50
263,,,,,,,
264,10036.0,total,"18,920","13,910","3,320","1,130","3,150"
265,10036.0,"< $25,000",4380,3600,360,290,1120
266,10036.0,"$25,000 - $49,999",3060,2330,300,330,490
267,10036.0,"$50,000 - $74,999",2560,2040,260,200,320
268,10036.0,"$75,000 -  $99,999",2010,1610,220,110,260
269,10036.0,"$100,000 - $199,999",3970,2950,800,120,420
270,10036.0,"$200,000+",2940,1380,1380,80,540
271,,,,,,,
